3291,3016,-275,0.00,0.00,0.00
2362,2092,-270,232.25,231.00,1.25
2641,2275,-366,160.23,166.01,20.79
2609,2441,-168,123.66,124.57,29.84
3819,3355,-464,200.96,174.99,39.19
2357,2155,-202,186.28,160.39,35.86
2626,2304,-322,161.94,140.88,30.97
3438,3121,-317,157.23,139.72,27.20
2400,2176,-224,147.99,130.90,25.26
3349,2988,-361,140.91,124.28,23.62
2404,2176,-228,134.23,118.11,22.22
2690,2531,-159,123.61,108.28,22.71
2353,2156,-197,119.07,103.84,21.77
2744,2538,-206,110.61,96.43,20.70
2553,2328,-225,104.30,90.81,19.51
2566,2213,-353,98.55,86.90,19.00
2687,2675,-12,92.85,82.42,22.92
2454,2145,-309,89.13,80.06,21.83
2606,2262,-344,84.71,76.64,21.11
2435,2136,-299,81.72,74.53,20.13
3825,3458,-367,92.59,84.33,19.72
2468,2174,-294,89.36,81.74,18.85
2348,2158,-190,87.15,79.37,18.34
2399,2169,-230,84.63,77.03,17.64
2613,2322,-291,81.36,74.14,16.96
2416,2120,-296,79.04,72.35,16.35
3183,2890,-293,77.96,71.48,15.77
2451,2091,-360,75.78,70.08,15.52
3372,3063,-309,76.34,70.72,15.04
2402,2135,-267,74.60,69.19,14.54
2575,2293,-282,72.35,67.15,14.07
2598,2307,-291,70.19,65.20,13.64
2438,2171,-267,68.57,63.74,13.23
3188,2806,-382,67.93,62.75,13.21
2425,2184,-241,66.51,61.40,12.87
2412,2263,-149,65.18,59.88,12.97
2432,2180,-252,63.84,58.65,12.63
2425,2123,-302,62.56,57.64,12.33
2442,2210,-232,61.28,56.41,12.05
3388,2990,-398,62.14,56.76,12.15
2512,2232,-280,60.80,55.57,11.85
2717,2572,-145,59.35,54.36,11.96
3407,3142,-265,60.15,55.51,11.68
2351,2086,-265,59.34,54.83,11.42
2391,2086,-305,58.43,54.15,11.19
2372,2114,-258,57.59,53.40,10.95
2345,2085,-260,56.83,52.73,10.72
2379,2087,-292,56.00,52.07,10.50
2460,2186,-274,55.04,51.20,10.29
2400,2091,-309,54.20,50.55,10.11
2437,2216,-221,53.33,49.68,9.96
2418,2143,-275,52.51,48.95,9.77
2417,2211,-206,51.72,48.14,9.66
2348,2127,-221,51.07,47.48,9.53
2540,2263,-277,50.18,46.67,9.35
2364,2102,-262,49.54,46.09,9.19
2375,2181,-194,48.89,45.40,9.12
2544,2155,-389,48.07,44.77,9.19
2376,2109,-267,47.46,44.22,9.04
2380,2120,-260,46.85,43.66,8.89
2564,2269,-295,46.09,42.97,8.75
2727,2399,-328,45.38,42.28,8.66
2448,2285,-163,44.75,41.63,8.69
3174,2883,-291,44.85,41.77,8.56
2345,2163,-182,44.37,41.24,8.53
2702,2480,-222,43.72,40.65,8.43
2359,2097,-262,43.25,40.24,8.31
2361,2099,-262,42.79,39.83,8.18
2354,2090,-264,42.34,39.43,8.07
2350,2114,-236,41.91,39.01,7.96
2440,2201,-239,41.39,38.52,7.86
2423,2145,-278,40.90,38.08,7.75
3055,2713,-342,40.78,37.89,7.71
3297,3110,-187,41.24,38.73,7.69
2614,2363,-251,40.69,38.22,7.59
3198,3069,-129,40.84,38.82,7.70
2423,2254,-169,40.40,38.35,7.70
2935,2627,-308,40.07,38.00,7.62
2383,2087,-296,39.68,37.68,7.53
3254,3050,-204,39.93,38.16,7.48
2353,2091,-262,39.60,37.85,7.38
2773,2576,-197,39.15,37.47,7.34
2645,2359,-286,38.68,37.01,7.26
2443,2167,-276,38.28,36.65,7.17
2351,2132,-219,37.98,36.33,7.11
2352,2158,-194,37.67,35.99,7.07
2753,2426,-327,37.27,35.58,7.03
2436,2150,-286,36.91,35.26,6.95
2347,2085,-262,36.63,35.00,6.87
2479,2190,-289,36.25,34.67,6.80
2375,2173,-202,35.96,34.34,6.76
2596,2289,-307,35.57,33.98,6.70
2354,2091,-263,35.30,33.73,6.63
