9097,9336,33,0.00,0.00,0.00
11467,8956,-51,592.50,95.00,21.00
8985,8976,-9,488.98,73.74,14.00
8962,8978,16,402.73,59.12,11.50
9063,9062,-1,334.62,47.29,9.20
8975,9079,33,288.75,39.49,9.11
8966,8996,30,253.80,34.87,8.46
8956,8983,27,226.41,31.50,7.71
8963,8969,6,204.13,29.01,6.86
8976,9080,33,185.62,26.39,6.53
8982,12282,33,170.10,268.88,6.19
9040,8989,-51,156.51,247.90,7.52
11672,11455,-51,227.19,274.99,8.12
11489,9050,-51,252.66,256.88,8.37
9099,9454,33,237.43,239.76,8.08
7690,9611,33,246.89,224.99,7.79
8971,11506,33,233.57,240.32,7.50
8351,9801,33,227.02,227.28,7.23
7768,7909,33,228.52,231.00,6.97
7682,7703,21,229.29,235.44,6.65
7695,7705,10,228.23,237.17,6.33
9818,9832,14,220.14,227.44,6.05
9929,9925,-4,213.23,218.86,5.81
7690,7685,-5,212.57,220.34,5.60
7807,7799,-8,209.98,219.29,5.41
8376,7778,-51,203.41,217.72,5.63
7684,7680,-4,201.57,216.45,5.44
7684,7683,-1,199.34,214.60,5.25
7830,7769,-51,195.88,211.76,5.40
7678,8984,33,193.30,204.71,5.30
7700,7694,-6,190.45,202.47,5.14
7702,7697,-5,187.51,200.01,4.99
7694,7706,12,184.57,197.37,4.84
7688,7707,19,181.65,194.63,4.72
7681,7708,27,178.75,191.83,4.63
7708,7686,-22,175.76,189.11,4.56
7684,7707,23,172.90,186.27,4.47
7677,7699,22,170.10,183.48,4.37
7697,7673,-24,167.27,180.80,4.32
7694,7678,-16,164.51,178.12,4.24
7681,7686,5,161.85,175.44,4.14
7682,7687,5,159.23,172.79,4.04
7689,7686,-3,156.66,170.19,3.95
7701,7702,1,154.11,167.59,3.86
7689,7703,14,151.66,165.04,3.78
7692,7690,-2,149.26,162.58,3.70
7686,7709,23,146.93,160.12,3.64
7684,7705,21,144.67,157.73,3.58
7697,7702,5,142.44,155.40,3.51
